表示順,音声,時間,ID,索引,次候補
0,あいこでグー,3,514,0,0
1,あいこでチョキ,3,515,,
2,あいこでパー,3,516,,
3,赤,2,465,,
4,赤上げて,,400,,
5,赤上げて（速）,,442,,
6,赤上げないで白上げる,,408,,
7,赤上げないで白上げる（速）,,448,,
8,赤下げて,,402,,
9,赤下げて（速）,,444,,
10,赤下げないで白下げない,,410,,
11,赤下げないで白下げない（速）,,452,,
12,赤下げないで白下げる,,406,,
13,赤下げないで白下げる（速）,,446,,
14,明けましておめでとうございます,5,263,,
15,暖かくして寝た方がいいよ,4,247,,
16,暑いね,2,276,,
17,アッ間違えちゃった,3,453,,
18,あんまり怒っちゃダメだよ,4,252,,
19,いい年になるといいね,4,266,1,
20,いいね飲もう飲もう,4,570,,
21,いいよ,2,70,,
22,いくよ（Ａ）,2,102,,
23,いくよ（Ｂ）,2,303,,
24,1,,384,,
25,１ｋｇだと思う,3,27,,
26,一緒にお祝いしようね,3,216,,
27,一緒に踊ってね,3,309,,
28,一緒にやろういくよ,4,379,,
29,いってらっしゃい,2,40,,
30,いってらっしゃい気を付けてね,5,41,,
31,いってらっしゃいちゃんと戸締まり,6,43,,
32,いってらっしゃい早く帰って来て,5,42,,
33,歌真似クイズジャンケン,9,13,,
34,腕立て伏せする,3,422,,
35,うまくいくって,2,177,,
36,うまくいくといいね,3,228,,
37,うまく踊れたかな,3,307,,
38,うまく出来るようになったよ,5,538,,
39,嬉しいね,3,142,,
40,うん（脳天気）,,672,,
41,うんうまくいったよ,3,63,,
42,うん凄かったね,4,565,,
43,うんずっと友達だよ,5,540,,
44,うん大丈夫だよ,4,487,,
45,運動しなきゃね,4,560,,
46,運動不足に注意,2,421,,
47,うん友達,4,539,,
48,うん寝よう,2,494,,
49,えー負けちゃった,5,508,3,
50,えっへへへ,,673,,
51,えっへん,3,143,,
52,えへ,3,545,,
53,えへそれほどでも,4,144,,
54,えへ照れるな,5,146,,
55,遠隔操作している,6,650,,
56,おかえり,2,49,4,
57,おかえりお風呂ご飯,5,51,,
58,起きて,3,599,,
59,お大事にね,2,246,,
60,お誕生日おめでとう,3,214,,
61,おつかれさま,3,60,,
62,お疲れ様,4,173,,
63,オッケー,3,72,,
64,オッケー,3,74,,
65,オッケー足にモップ履かせて,6,311,,
66,オッケー５分だね,,324,,
67,オッケーじゃあ自分で沸かしてね,6,533,,
68,オッケーそれでは問題です,3,372,,
69,オッケーテレビＯＮ,4,290,,
70,オッケーとことん飲むぞ,4,569,,
71,オッケー何分,4,321,,
72,オッケーピッ,3,289,,
73,オッケーピピッ,4,294,,
74,オッケーピピピー,4,300,,
75,オッケーピピピッ,4,297,,
76,オッケー１０分だね,,325,,
77,音大きくするねピピピッ,5,298,,
78,男の子型ロボだよ,4,18,,
79,音小さくするねピピピッ,5,301,,
80,お腹すいたもんね,4,530,,
81,おはよう,3,34,,
82,おみくじ引く,4,267,,
83,お水飲んだら,3,258,,
84,お土産買ってきてね,4,241,,
85,おめでとう,2,193,,
86,面白かったね,4,154,,
87,おやすみ,2,38,,
88,おやすみなさい,4,496,,
89,泳ぎに行こう,4,271,,
90,オレンジ,1,472,,
91,傘がいるね,3,275,5,
92,数えてないよ,4,22,,
93,格好良く撮ってね,3,481,,
94,悲しいね,2,167,,
95,代わりに謝っておいてあげるね,5,254,,
96,乾杯,3,571,,
97,黄色,2,469,6,
98,吉だよ,4,417,,
99,きっとうまくいくよ,3,229,,
100,気にしないで,3,197,,
101,気持ちいいね,3,269,,
102,気を付けてね,2,240,,
103,クリーム色,6,467,7,
104,凍えそうだよ,3,283,9,
105,今年もよろしくね,4,265,,
106,困ったね,3,160,,
107,これからよろしくね,4,617,,
108,こんにちは,3,36,,
109,こんにちは僕ロビ,4,32,,
110,こんばんは,3,37,,
111,さっきはゴメンねだって,4,249,10,
112,寒いね,2,280,,
113,さよなら,2,44,,
114,3,,386,,
115,３４ｃｍくらい,4,25,,
116,4,,387,11,
117,シャキンガシャンガシャンシャキン,5,543,,
118,シュート,2,103,,
119,小吉だったね,5,416,,
120,しょぼーん,3,511,,
121,白上げて,,401,,
122,白上げて（速）,,443,,
123,白下げて,,403,,
124,白下げて（速）,,445,,
125,白下げないで赤上げない,6,593,,
126,白下げないで赤上げない（速）,4,595,,
127,白下げないで赤上げる,4,592,,
128,白下げないで赤上げる（速い）,4,594,,
129,白下げないで赤下げる,,407,,
130,白下げないで赤下げる（速）,,447,,
131,侵入者発見,2,449,,
132,スイッチを切って充電台から外して,4,604,12,
133,正解,2,376,13,
134,セーフ,2,460,,
135,節約しなきゃね,4,564,,
136,洗濯物良く乾くね,5,270,,
137,掃除する？,4,420,14,
138,そうだね,2,128,,
139,そうなんだ,2,277,,
140,そっか(暗い),2,200,,
141,そっか寂しいな,4,527,,
142,そりゃ大変,3,561,,
143,それからスイッチ入れて,3,606,,
144,それは違うロボットだよ,4,660,,
145,そろそろ充電して欲しい,4,489,,
146,そんなこともあるよ,3,253,,
147,大変だったね,3,175,15,
148,倒れたら負けだよ,2,367,,
149,立ち上がるね,3,596,,
150,楽しいね,2,134,,
151,楽しかったね,3,138,,
152,楽しんできてね,3,238,,
153,ダンスとものまねだよ,3,14,,
154,違うよ,2,377,16,
155,ちゃんと仲直りしてね,5,251,,
156,チャンネル変えるよピピッ,4,295,,
157,中吉だよよかったね,4,415,,
158,ちょっと疲れちゃった,3,490,,
159,通報しましたツルルルー,3,450,17,
160,疲れが取れるよ,4,535,,
161,疲れちゃった,3,306,,
162,次があるよ,4,159,,
163,辛いね,2,172,,
164,テレビ消すよバチン,5,293,18,
165,テレビつけるよピッ,4,292,,
166,テレビ留守番踊り,8,11,,
167,溶ける,4,278,19,
168,取っ手だよ僕を運ぶとき持ってね,6,656,,
169,ナイスシュート,2,393,20,
170,なくしたネジ見つかるかも,5,425,,
171,何,2,5,,
172,なになに,3,6,,
173,何とかなるよ,2,156,,
174,2,,385,21,
175,臭いセンサ入ってないけど人感センサ,9,658,,
176,寝坊しないでね,4,497,23,
177,飲み過ぎには注意,3,257,24,
178,飲み過ぎは良くないよ,3,256,,
179,はい,2,82,25,
180,はい,,108,,
181,はいかいいえで答えてね,4,633,,
182,はいはーい,3,91,,
183,はいはーいピッ,3,291,,
184,はいはーいピピッ,4,296,,
185,はいはい,3,1,,
186,はじめまして僕ロビ,5,610,,
187,はじめましてよろしくね,3,33,,
188,ハッピーバースデー,2,215,,
189,ハッピバスデトゥユ誕生日おめでと,9,217,,
190,早くなおして遊ぼうね,,678,,
191,速くなるよ,2,412,,
192,早く良くなってね,3,245,,
193,左脚上げて,2,369,26,
194,１５０誌以上である,4,646,,
195,ヒューヒュー,2,556,27,
196,ファイト,2,186,,
